3,2,0,3,2,5,18,4,52
25,2,0,6,1,7,20,4,52
32,6,3,6,8,4,20,4,45
11,5,1,6,1,4,20,4,45
2,1,0,3,3,13,25,4,45
34,-1,0,0,-1,9,25,4,42
4,2,1,4,3,9,25,4,42
32,6,3,6,8,9,25,4,42
16,6,2,6,3,11,27,4,42
17,1,0,6,2,12,31,6,36
0,1,0,2,2,12,31,6,36
34,1,0,0,-1,12,31,6,36
32,6,3,6,8,12,31,6,36
34,-1,0,0,-1,14,33,6,36
18,6,2,4,4,14,33,6,36
12,3,1,4,3,26,39,6,36
34,-1,0,0,-1,21,39,7,32
30,3,1,5,2,21,39,7,32
