XHASMcLWaRJYBgGfedVTNQFZbKIEUPDOC,MAAALAAARACA.BAEAGAFAeAFHdBHA..TCAAQCCBhAFAFAHBZCCBKEEAUDGADBBBXEGDhAHAHEDBAEAB.SFDDhAIAaGGA.........hABA......hACA...,1
bXAQfHVKDJMedWPZROUTBGEcCNYIaSLgF,HAAAVAAA.KADC.DAGAeADEdBFAZBGBRAGF..OBDDUCABGDCAhAAA..ECFBCEEB.NCIA.aEGEhACASDCD.hCDALFEAgGGAbGAAAFFA.JHEAMICA.hAAA......hAGA....,2
RKaeIdZYDVLXAfcbQTUBPFNGOgMCSHEJW,...fAAAbAAAQAEABADAFAFAGBGAOAHDMCABCBCDHBEBhAAAECCBREAF..KCEDaCADeEFBhAAAZECADDHBLHAAhABAADDBTGCAPFHD.SGEBJFHB..hACA......hAEA....,1
JDCgLKIbVHXOFMQBYfGTPdaARUSeWcNZE,RAAAUAAAeADE....NADA.ZAGB.EBDFCAEALAGBKCEB..IEGAhAAAHCEBFDHDMBIBhABAQEAABEEDfFHAhAGAGGBBdGFAaCCHAAIB.SGCA.hAEA......hBAA....,2
DWJcXfZdTgAMGeSPUYRQaNLHBOKECFIVb,eAAASAAAUAEARAGBQADA.aAFENBDA..HEBBBBHAEDHFhAAAFCCB...bCFDDEEAhABAJDABfFFAhAIA.ZFDBdEDAACCBMFIBGGAB.PFHD.hBEAOHDECHGA...hBIA....,1
LDgTZHWUOaQSXdJGCFKcYNBIREeVMfPAb,LAAADAAAZABEHAEBOADDQAGAdAFAGBGAKCCA...NCAA.RDABEDFAhADA..eCCBMDIBhAGAAAHATEEAaEEC.XFBChABAFFGDBHEAfFHA.gGEAhACA...hBAA....,1
eXYJDOCRdGgUaBbEIPTFKSZQfcWVANHLM,HAAALAAAeACEXADDDAFAOAHD.CBFA.RAFAGCAA.aCCChABAECCA.TDEAFCGDZEEAhACAQDGCfFDEhAFAcEDCACIBMEIBdGGAgGAABHBA..hAGA......hAIA...,2
QWZGMeCaNFOLAUEbDPgcfVIdSRJKBHTYX,EAAADAAA.....PACCfACA.dAEASAFBhAAARAGBBCDDHCFBTCCAQEBAhAGAWAGH.ZFDBeCEHhAIAaBBHFFGDABIBUEGA.bGFC...cECChCAA......hCBA....,1
PBbZFcNDMRfXdgIUTHOVJYaLQECAWKeGS,eAAAGAAABADAZADAFAGADAFA.RCDA.dBFA.UCCAHCGB.ODCB.hAAAJEAFaAHD.EDGACEFDAAABKEFDhABA....SFGAhACAPEHD.NICB.MFCB...fGGEhBHAIHHA...hAEA....,2
ODfQdHVGZYIBbUSPEFgeTXNCcLAMJWRKa,MAAAJAAA.RACA.KADCDAFA..QAFAHBECGDDAZCCABAHAUFGASBBDhAIAFCHD.hBAAeBHHTECACHBAADDBaGEDhBAAdFFA..IHHA.EGDA....hCAA......hCBA....,1
CTDINQEaJAeWRgMdBcFfZPOGKVHLUSbXY,RAAAMAAAdADABAFAFADDZAEBGAGA..KAGAHCDCLBBBUEEB.SCFHhAIA..hBAAbFAACCHADDDB.QEGAhCAAEEHFAAAA.eEEB...gGGGhCBAfGHAPHCChCHAOCCH..,1
OECTXdZeSQaDYfWLRKcbAGJPBFIMNUHVg,GAAAJAAABADBFADA.MAGBHAEB..OAHBEAGA..CBHAdCCAZCDBeCHHhAAA.QFEAhACAaDFDDDHB..fEDAhAGAWDBHKGGCADDBIGGANIAB....hBAA......hCAA....,1
LgNdfBRMSWGZHAQEaDVYCFKPOTUbceXJI,EAAAaAAA.DADA..CADAFAFAOAEE..UCCAeAHH..JBFFLBCBhAAA.dCFARDABMAIBhADASDHHZEFAABBB.QEDDhAHAKGGA.PGFC....hCAA......hCBA....,1
AFOcWXHMJNKDBRTbQSLIVZGCEgfYPaedU,OAAAXAAAHADA.MAFAJADA..DAGABBBDRBCF.TBGA.hAAAQCDBLBHBICFAhABAVDFBCFHA.EEDAhCAA...gEGG.fFFEhCBA.aHCA..hCHA....,2
FcMaZUAfTXbdRNOHgDIPECeGBYSQLVWJK,TAAAXAAA.dADARACFHAEB.DAGAEAFACBGB.eAHFGDEBBCEAQEAAhAAALDBBVDFBhAAAJEDFFFFHMCIB.aDDHhABAABIBfHGFOFAHgGCA.IGHAhAFASCAG.hBDA...,1
cEXQbLTBSFfYaACdMOPZDHWRUINeGJVKg,dAAAMAAAZABBDAEAHADA.RAGFUDDAeAFAGBBA.KBEDEDGBQCGAhBAALFABTGFAhAFAFDEDaEGC.ACIB..OEHDhAGAIGCA.NIBB.gFCGXGGA..hAIA......hBAA....,1
PAMdRCbKETeUJHONIVaBYQcFLGfgDSWXZ,RAAACAAAKACAEADE...UAEAHAFB.OAHF..IAHAaCCABDDDhAAA.QDFBhABALCAAGCGADEIBSFAAhAFAXDEBAFFBMFHBbGBAeFGDNHAB....hAAA......hACA...,1
fLDFRgMCdObQEZWNeYVGaKJPBHISTXAUc,UAAALAAARADA.MAEACAGB.dBEA..QCDBEAHFZCAA.eAHHhADAGCFA.aDHDKDFABECDhABAHEAASEEDhACATFFAADIBDFIBOGBCbGCC.WHDA....hBGA......hCBA....,2
fDHNSPbgTXLdZVARBOJYKcMUIWGCaQEeF,RAAABAAAOADAJACA...KAGAMAFA..UCCAGBEBCCFA.aBCHECHBhAAA..FDEBDEBBHDGBhAAA..SEDAhABA..bGECgEGB.TGFAhAIAdHBBAFFB...cFCChBEA..,2
bHFCRWGEAQYNaZSLVJTKBfOPMIUXcDdeg,QAAAaAAAZACB.LADAJAEB.TBGABAGAOAHD.hAAA.PCDBMBBBUDFAhAGAXDGAdEECeEHHhBAAgEAAHGCA.RFCAWFFBAGGB.SFHDhAEA.KHAA...hCAA....,1
DCFYPeVBGaIcXgTSZRKJMAOWLEfQUHbNd,LAAAEAAAUADAHAFAdAEADAGA.FBGAeBCDBCAAaCFE...XDGAhAAATCCA.ZEDBRCFBKEBAhABAAAHAODBB.fFFAhBDAQFECCGHA.PHFC....hACA......hBEA...,2
PeCFHLWAXOVEaKTUIQNbYSJMDBRZcfdgG,OAAAVAAA.KADAUADA..QAFC..bAFASAHBhBAAJCFBBCHDREDBZBBAdFHAhAAAgCFA.hAGAeDDBCDDCLHAAADIBEEHBaFFBNIEB.DGGB..fGFFhAHA..hCAA....,2
IDOFeEXATVWGdNHRUMQgYKaJZLbCPfSBc,TAAAVAAA..dADAHACBRAFA.MAEA.QBECKCEAZCGBLEEBhAAAbBGB.CFAA.PCABhAAABGGADDDBODFD.hAFAEEHFXGAAACIBNEEA.......hACA......hAIA...,1
DWgZAHETVMIRUBYXPCbdKSJfGFcLNeaOQ,HAAAEAAA.TAEAMADARAFABAGB..XBCAbCAA..dCEDSCBDhAAAGCGAFEAALCFAhAIAeEEBaGFDQEEAhBCADACA.ZEGBAAIBIHHAYHCAKDDDhBDA......hCAA...,1
WOZVPIgReKUTJAYfDdGEBCcHSMbaXFQLN,DAAAdAAAEADABACAHAFA.MCCAaADD..QAFALCHBODAAhACAZCCA.VDEA.IGGAhADARDFFeDHHTFAAhAFAAAHA..YEDFCAHAcFCASHDAhBAA..FGHD.WBBDhBAA..,2
VaHEAFMPLSIZBgKcUdeCbOGRWXTJQNDfY,MAAALAAAZABEBAFAKAEAUAGA..eAGHCCAAGCCARCCA..TDGAhAFAQEAC.hAIADDHBfEEAhBAA.VGFAHEFBEFCBACCBFGDD.SFHHhABA.....hBIA...,2
AUZXOFDbaMRCJNGPfSTEQgLHcKBeVIdWY,ZAAAXAAADACA..aAEDRADA..CAGB.GAGA..SAHHhAAAECCBQEBCHCDCcDAAhABAKEEAeDHHdDHAAAGBUGDAhABAOEABFGGHMEEB.JFFB.fGCAhADA.....hAIA...,2
EbacMYdXLPSOJRADNHGUQTBIWCeFKfgZV,HAAAGAAATAEABADACAFAeAGH..KAHBfCAEZCDA.ECCAhAAAaCFAMAIBdECALEEAhAAAPDEBODGDRFABADABDDIBhACANEAAQGEA.FGHDgGGAhADA.....hACA...,1
YLAfBgHVPcaTZNbXCeGQdJKMODFEUWRSI,BAAAHAAAVAEAaACAZAEB....XCAAeAGFGCBAdAHAJDDAMAIBhAAAFDGAUFFARDFA.SEABhAAALFFAABCA.hACAfHCBPECD.......hADA......hAEA...,2
FWQAHYMePcXCBJSafOREgKUVGLbdNDTIZ,HAAAMAAA.eACE.XAFBBADAJAFAaAHDOBBB..ECCAKBFDhAIAUDEAGCDALDHBhAAAdCHADDCBTFCAZDFBFFHBhBAAWHBA.AGGBYHFG....hBHA......hCAA...,1
cYPNEZJaBDWVAFTMIQCRXGUfLgeKdbSHO,MAAAQAAARACA.GACBUAFALBHBeAFEdCDDSCFHhAAAHCCCOBBB..cDAAhADAPDFDECHBZFGBaEECBHDAhAIADEHBAFIB.FGGH........hAIA......hCAA...,2
RcAMDKVOTZLfYHaWdXSbBeENPUCgGJQIF,MAAADAAAOABEZABELAFAHAEB..dAGBXCCABBHDeCCBECFA.hAGAUDGAGDGA.QFCAhAHAREABAEEAKFFD.TFEAhBAAaGEH.SGHH.NICB.CGHA..hCAA......hCCA...,1
geUHJZCLIFaPSNOTREdQKcAWXMDBGbVfY,MAAADAAAGABB..bABAVAGB....fAFAhAFAeCCAHDEAJAHBZEAACCCALDEBhAHAaDHDSFGDTGCAhBAAEGAAdFHAQGDAKGFBACGB.....hCAA......hCBA....,2
FGUEMBKDOPLagNISdJTAWVbeXCfHZQRcY,VAAAeAAACADA..HADBRAEF.FAFAGAGA.UDCAEBHFMCGBDDGBLEEBhAAAaDAA..gDDAhAAASDHHdEHAhADAJGAAAFBAXGGCQGGA.....hAIA......hBFA....,1
