34,1,0,0,-1,10,23,5,47
8,5,2,4,6,12,25,5,47
32,6,3,6,8,4,28,7,42
10,2,0,4,2,13,30,7,42
2,1,0,3,3,13,34,7,38
34,1,0,0,-1,21,41,9,26
34,-1,0,0,-1,21,41,9,26
34,1,0,0,-1,23,43,9,26
34,1,0,0,-1,25,45,9,26
34,1,0,0,-1,36,47,9,26
34,1,0,0,-1,38,49,9,26
34,1,0,0,-1,40,51,9,26
34,1,0,0,-1,51,53,9,26
19,4,2,5,5,8,3,0,81
34,-1,0,0,-1,4,6,2,76
7,3,1,6,0,6,8,2,76
34,1,0,0,-1,4,9,3,70
10,2,0,4,2,9,11,3,70
5,2,0,5,2,7,13,3,66
11,5,1,6,1,3,13,3,61
12,3,1,4,3,12,19,3,61
6,4,1,7,1,9,21,4,57
34,1,0,0,-1,11,23,5,50
28,4,3,5,10,13,25,5,50
21,3,1,8,5,10,25,5,45
0,1,0,2,2,13,28,5,45
1,3,0,3,1,13,32,6,38
32,6,3,6,8,10,33,6,34
16,6,2,6,3,20,37,6,34
34,-1,0,0,-1,27,43,8,28
34,-1,0,0,-1,29,45,8,28
34,-1,0,0,-1,39,47,8,28
34,-1,0,0,-1,41,49,8,28
34,-1,0,0,-1,43,51,8,28
34,-1,0,0,-1,53,53,8,28
17,1,0,6,2,6,1,0,81
12,3,1,4,3,7,5,0,75
10,2,0,4,2,4,7,1,71
34,1,0,0,-1,3,10,1,67
34,1,0,0,-1,6,12,1,67
19,4,2,5,5,8,14,1,67
1,3,0,3,1,1,16,3,62
7,3,1,6,0,8,20,3,62
11,5,1,6,1,6,20,4,56
32,6,3,6,8,9,24,5,49
2,1,0,3,3,11,26,5,49
4,2,1,4,3,7,26,5,46
32,6,3,6,8,3,27,6,41
29,2,0,5,1,3,27,6,41
5,2,0,5,2,12,30,6,41
34,1,0,0,-1,15,36,7,32
15,4,2,6,7,17,38,7,32
34,1,0,0,-1,19,42,9,26
8,5,2,4,6,19,42,9,26
34,1,0,0,-1,34,48,9,26
34,1,0,0,-1,36,50,9,26
32,6,3,6,8,36,50,9,25
34,1,0,0,-1,38,52,9,25
12,3,1,4,3,6,1,0,81
25,2,0,6,1,2,3,1,77
25,2,0,6,1,6,6,1,77
4,2,1,4,3,5,8,1,71
34,-1,0,0,-1,0,8,2,67
34,1,0,0,-1,2,10,2,67
34,1,0,0,-1,6,12,2,67
29,2,0,5,1,8,14,2,67
28,4,3,5,10,12,20,3,62
7,3,1,6,0,9,20,3,57
32,6,3,6,8,6,20,4,50
3,2,0,3,2,14,24,4,50
32,6,3,6,8,0,28,6,40
19,4,2,5,5,0,28,6,40
34,1,0,0,-1,11,33,6,40
5,2,0,5,2,23,39,6,40
34,1,0,0,-1,21,43,8,31
34,1,0,0,-1,23,45,8,31
34,1,0,0,-1,33,47,8,31
34,1,0,0,-1,35,49,8,31
34,1,0,0,-1,37,51,8,31
34,1,0,0,-1,47,53,8,31
1,3,0,3,1,7,2,0,81
34,1,0,0,-1,4,3,0,78
29,2,0,5,1,6,5,0,78
16,6,2,6,3,5,8,1,73
25,2,0,6,1,3,12,3,67
11,5,1,6,1,5,14,3,67
23,5,2,5,5,8,19,4,61
32,6,3,6,8,1,22,6,55
18,6,2,4,4,1,22,6,55
32,6,3,6,8,1,22,6,55
34,-1,0,0,-1,12,27,6,55
7,3,1,6,0,20,29,6,55
10,2,0,4,2,19,30,7,49
0,1,0,2,2,22,33,7,49
14,4,1,5,3,20,37,10,43
6,4,1,7,1,23,40,10,43
34,-1,0,0,-1,32,43,11,36
34,-1,0,0,-1,34,45,11,36
34,-1,0,0,-1,47,47,11,36
34,-1,0,0,-1,49,49,11,36
34,-1,0,0,-1,51,51,11,36
34,-1,0,0,-1,64,53,11,36
18,6,2,4,4,6,1,0,81
6,4,1,7,1,3,6,2,77
12,3,1,4,3,3,6,2,77
7,3,1,6,0,7,10,2,77
25,2,0,6,1,8,16,4,65
20,3,0,7,2,9,18,5,61
2,1,0,3,3,8,22,5,54
34,1,0,0,-1,12,25,5,51
17,1,0,6,2,22,30,5,51
5,2,0,5,2,14,32,5,40
32,6,3,6,8,10,32,5,34
